card_id;customer_id;account_id;card_type;card_number_masked;expiry_date;status;credit_limit_idr;outstanding_idr
CRD0001;NBC0632;ACC00632;debit;**** **** **** 1194;01/06/2029;active;;
CRD0002;NBC0328;ACC00328;credit;**** **** **** 0455;01/05/2027;blocked;15000000;579414
CRD0003;NBC0159;ACC00159;debit;**** **** **** 9614;01/05/2024;active;;
CRD0004;NBC0191;ACC00191;prepaid;**** **** **** 1504;01/09/2029;active;;
CRD0005;NBC0232;ACC01001;prepaid;**** **** **** 9582;01/06/2027;active;;
CRD0006;NBC0200;ACC00200;debit;**** **** **** 2117;01/07/2025;active;;
CRD0007;NBC0171;ACC00171;credit;**** **** **** 9933;01/04/2027;active;5000000;3112441
CRD0008;NBC0959;ACC00959;credit;**** **** **** 7366;01/04/2027;active;20000000;11867581
CRD0009;NBC0348;ACC00348;debit;**** **** **** 5138;01/04/2028;blocked;;
CRD0010;NBC0669;ACC00669;credit;**** **** **** 4201;01/08/2024;active;50000000;18098021
CRD0011;NBC0688;ACC00688;debit;**** **** **** 6338;01/04/2024;active;;
CRD0012;NBC0571;ACC00571;prepaid;**** **** **** 1626;01/08/2025;active;;
CRD0013;NBC0952;ACC00952;debit;**** **** **** 8506;01/04/2026;expired;;
CRD0014;NBC0237;ACC00237;credit;**** **** **** 3027;01/01/2027;active;5000000;1010010
CRD0015;NBC0304;ACC00304;debit;**** **** **** 2283;01/03/2028;active;;
CRD0016;NBC0129;ACC00129;prepaid;**** **** **** 8834;01/02/2027;active;;
CRD0017;NBC0522;ACC01002;credit;**** **** **** 4269;01/03/2028;active;10000000;6136092
CRD0018;NBC0547;ACC00547;debit;**** **** **** 7212;01/03/2026;active;;
CRD0019;NBC0999;ACC00999;credit;**** **** **** 8896;01/07/2028;blocked;75000000;5909353
CRD0020;NBC0794;ACC00794;prepaid;**** **** **** 8212;01/06/2029;active;;
CRD0021;NBC0891;ACC00891;debit;**** **** **** 0989;01/09/2025;active;;
CRD0022;NBC0292;ACC00292;debit;**** **** **** 8979;01/01/2027;active;;
CRD0023;NBC0016;ACC00016;credit;**** **** **** 3195;01/08/2025;active;20000000;8013155
CRD0024;NBC0606;ACC00606;debit;**** **** **** 6733;01/03/2026;active;;
CRD0025;NBC0458;ACC00458;credit;**** **** **** 5792;01/05/2028;active;75000000;44246399
CRD0026;NBC0468;ACC00468;credit;**** **** **** 7111;01/04/2024;active;20000000;14912018
CRD0027;NBC0094;ACC01172;debit;**** **** **** 4265;01/10/2024;blocked;;
CRD0028;NBC0633;ACC00633;credit;**** **** **** 4441;01/05/2029;blocked;5000000;1141370
CRD0029;NBC0261;ACC00261;debit;**** **** **** 8456;01/02/2026;active;;
CRD0030;NBC0535;ACC00535;prepaid;**** **** **** 9269;01/04/2025;active;;
CRD0031;NBC0004;ACC00004;credit;**** **** **** 4853;01/09/2025;active;50000000;20057651
CRD0032;NBC0343;ACC00343;debit;**** **** **** 3962;01/10/2029;active;;
CRD0033;NBC0895;ACC00895;debit;**** **** **** 0544;01/08/2029;active;;
CRD0034;NBC0585;ACC00585;debit;**** **** **** 5411;01/03/2029;active;;
CRD0035;NBC0596;ACC00596;debit;**** **** **** 5221;01/11/2024;blocked;;
CRD0036;NBC0830;ACC00830;credit;**** **** **** 3670;01/08/2027;active;100000000;38881266
CRD0037;NBC0970;ACC00970;credit;**** **** **** 5443;01/06/2028;active;5000000;3104307
CRD0038;NBC0802;ACC00802;debit;**** **** **** 4029;01/07/2027;active;;
CRD0039;NBC0350;ACC00350;debit;**** **** **** 6534;01/04/2026;active;;
CRD0040;NBC0466;ACC00466;prepaid;**** **** **** 8725;01/05/2026;active;;
CRD0041;NBC0077;ACC00077;debit;**** **** **** 3058;01/07/2029;active;;
CRD0042;NBC0816;ACC00816;prepaid;**** **** **** 2279;01/02/2029;active;;
CRD0043;NBC0022;ACC00022;debit;**** **** **** 5551;01/04/2026;active;;
CRD0044;NBC0582;ACC00582;debit;**** **** **** 9134;01/04/2026;active;;
CRD0045;NBC0381;ACC00381;debit;**** **** **** 0889;01/02/2026;active;;
CRD0046;NBC0572;ACC01106;debit;**** **** **** 8268;01/09/2029;active;;
CRD0047;NBC0210;ACC00210;credit;**** **** **** 8009;01/02/2024;active;100000000;67549944
CRD0048;NBC0968;ACC00968;debit;**** **** **** 2833;01/12/2025;active;;
CRD0049;NBC0461;ACC00461;debit;**** **** **** 3135;01/12/2028;active;;
CRD0050;NBC0844;ACC01018;debit;**** **** **** 2830;01/09/2024;active;;
CRD0051;NBC0192;ACC00192;debit;**** **** **** 5686;01/08/2025;active;;
CRD0052;NBC0374;ACC00374;prepaid;**** **** **** 0631;01/01/2025;active;;
CRD0053;NBC0864;ACC00864;credit;**** **** **** 7983;01/03/2026;active;100000000;75241823
CRD0054;NBC0368;ACC00368;prepaid;**** **** **** 2847;01/09/2028;active;;
CRD0055;NBC0647;ACC00647;credit;**** **** **** 0315;01/11/2028;active;75000000;57183866
CRD0056;NBC0825;ACC01145;debit;**** **** **** 8690;01/01/2029;active;;
CRD0057;NBC0858;ACC00858;credit;**** **** **** 8142;01/10/2026;blocked;20000000;9889688
CRD0058;NBC0081;ACC00081;debit;**** **** **** 3836;01/03/2028;active;;
CRD0059;NBC0204;ACC00204;debit;**** **** **** 6530;01/03/2025;expired;;
CRD0060;NBC0357;ACC00357;debit;**** **** **** 5449;01/11/2024;blocked;;
CRD0061;NBC0298;ACC00298;prepaid;**** **** **** 4045;01/07/2028;active;;
CRD0062;NBC0505;ACC00505;debit;**** **** **** 8754;01/03/2029;active;;
CRD0063;NBC0605;ACC00605;credit;**** **** **** 7314;01/01/2027;active;20000000;14544989
CRD0064;NBC0062;ACC01062;debit;**** **** **** 8210;01/04/2024;active;;
