loan_id;customer_id;loan_type;principal_idr;interest_rate_annual;tenure_months;disbursement_date;monthly_installment_idr;outstanding_idr;status;due_date;last_payment_date
LON0001;NBC0561;personal;39614428;0.1728;24;26/09/2022;1963961;29207086;active;27/09/2024;03/08/2024
LON0002;NBC0069;modal_usaha;110513682;0.2262;48;22/12/2023;3519157;57327480;active;25/12/2027;10/08/2024
LON0003;NBC0394;personal;17826515;0.1497;12;30/06/2023;1608739;10139286;active;30/06/2024;14/10/2024
LON0004;NBC0070;kredit_barang;22401958;0.2134;6;28/10/2023;3969462;20204060;active;28/04/2024;05/03/2024
LON0005;NBC0056;personal;7061228;0.2133;12;05/04/2022;658616;0;paid_off;06/04/2023;09/11/2022
LON0006;NBC0062;kredit_barang;19447412;0.1571;12;15/12/2022;1761813;0;paid_off;16/12/2023;12/08/2023
LON0007;NBC0706;modal_usaha;27565823;0.2241;24;02/06/2022;1435651;0;paid_off;03/06/2024;04/03/2024
LON0008;NBC0864;personal;19842925;0.1864;6;16/03/2022;3489262;8651866;active;15/09/2022;11/04/2023
LON0009;NBC0528;personal;23693293;0.1768;6;29/11/2022;4154994;17442750;written_off;31/05/2023;
LON0010;NBC0522;personal;8295653;0.2041;36;11/07/2022;310032;0;paid_off;13/07/2025;29/01/2024
LON0011;NBC0195;modal_usaha;101263226;0.2262;24;19/02/2024;5284405;93907429;active;20/02/2026;12/12/2024
LON0012;NBC0102;modal_usaha;172508772;0.1573;6;09/09/2023;30084869;93286148;overdue;10/03/2024;19/12/2023
LON0013;NBC0381;modal_usaha;169611175;0.2100;6;25/08/2022;30025004;0;paid_off;24/02/2023;26/09/2022
LON0014;NBC0675;personal;31576357;0.1987;36;07/03/2023;1171400;0;paid_off;09/03/2026;25/07/2024
LON0015;NBC0483;personal;43053473;0.2108;6;27/06/2022;7623158;38378494;active;27/12/2022;27/11/2024
LON0016;NBC0831;personal;33149137;0.1765;48;05/09/2023;967704;0;paid_off;08/09/2027;09/03/2024
LON0017;NBC0490;modal_usaha;191822959;0.2232;48;29/04/2023;6076963;157555349;written_off;02/05/2027;
LON0018;NBC0109;personal;10353657;0.2388;6;22/06/2023;1847771;0;paid_off;22/12/2023;17/11/2023
LON0019;NBC0415;modal_usaha;130844733;0.1665;48;23/03/2023;3751879;108858441;active;26/03/2027;03/04/2024
LON0020;NBC0619;personal;49884426;0.2269;48;12/02/2023;1590409;25425206;active;15/02/2027;26/11/2024
LON0021;NBC0578;kredit_barang;22309372;0.1824;6;12/06/2023;3918525;0;paid_off;12/12/2023;05/08/2023
LON0022;NBC0552;kredit_barang;13072231;0.2374;48;23/12/2023;424302;10230055;active;26/12/2027;21/04/2024
LON0023;NBC0627;personal;30689136;0.2192;12;26/10/2022;2871149;12557441;overdue;27/10/2023;15/07/2023
LON0024;NBC0514;modal_usaha;94149800;0.1907;6;21/02/2022;16575881;0;paid_off;23/08/2022;21/08/2022
