trx_id;account_id;trx_type;amount_idr;merchant_name;merchant_category;trx_date;trx_time;balance_after_idr;status;channel
TRX000001;ACC00593;credit;5911919;Zalora;shopping;08/03/2022;15:33:00;437402550;success;mobile_app
TRX000002;ACC00542;debit;1129203;Blibli;shopping;22/01/2023;05:46:38;9816637;success;mobile_app
TRX000003;ACC00991;transfer_in;20430218;Transfer;transfer;10/12/2024;01:44:58;10393992;success;merchant
TRX000004;ACC00071;credit;7743998;Salary;transfer;24/04/2022;08:05:22;4364182;failed;merchant
TRX000005;ACC00944;debit;1710366;PLN;bills;06/10/2023;03:02:51;54536535;success;mobile_app
TRX000006;ACC00884;credit;8991635;Uniqlo;shopping;03/06/2024;06:12:57;21075396;success;mobile_app
TRX000007;ACC01148;debit;905570;BPJS;bills;18/03/2024;13:47:02;272355643;success;mobile_app
TRX000008;ACC00336;top_up;216114;CGV;entertainment;29/08/2024;08:07:21;12727919;success;mobile_app
TRX000009;ACC00133;transfer_out;25481101;Transfer;transfer;04/08/2023;02:03:56;35791049;success;mobile_app
TRX000010;ACC00447;transfer_in;29373600;Transfer;transfer;02/04/2022;15:51:34;23824089;success;atm
TRX000011;ACC00801;debit;637110;XL Axiata;bills;03/08/2024;15:36:40;22208436;success;mobile_app
TRX000012;ACC00495;top_up;914965;Telkomsel;bills;28/06/2022;08:16:13;106170166;success;mobile_app
TRX000013;ACC00908;debit;1994913;Zenius;education;01/12/2023;00:51:58;40341492;success;atm
TRX000014;ACC00462;credit;3166023;Tokopedia;shopping;06/04/2024;16:30:21;30610663;success;merchant
TRX000015;ACC01157;debit;188669;GrabFood;food_delivery;09/01/2023;07:56:46;27763758;success;mobile_app
TRX000016;ACC00551;transfer_in;8648058;Transfer;transfer;20/01/2023;15:29:16;8227864;success;atm
TRX000017;ACC00730;top_up;117430;Steam;entertainment;01/03/2023;07:31:26;18933037;success;mobile_app
TRX000018;ACC00022;debit;1464214;Superindo;groceries;16/05/2022;01:40:51;163208837;success;atm
TRX000019;ACC00890;debit;72835;Apotek K24;health;25/03/2022;15:02:29;187796042;success;mobile_app
TRX000020;ACC00739;credit;4561470;Alfamart;groceries;22/01/2022;07:16:33;48014556;success;mobile_app
TRX000021;ACC00535;credit;5562376;Hypermart;groceries;15/01/2022;09:56:16;29418804;success;web
TRX000022;ACC00465;credit;215941;Salary;transfer;30/08/2022;14:35:55;223207777;success;mobile_app
TRX000023;ACC00951;transfer_out;8650968;Transfer;transfer;19/05/2023;23:05:27;321727197;success;merchant
TRX000024;ACC00796;transfer_out;16913644;Transfer;transfer;01/07/2023;08:17:56;146906595;success;web
TRX000025;ACC00774;top_up;626168;PLN;bills;14/02/2023;05:40:02;133673701;success;atm
TRX000026;ACC00909;credit;5792471;Salary;transfer;16/05/2024;19:39:49;0;success;mobile_app
TRX000027;ACC00885;debit;1757777;Alfamart;groceries;03/04/2024;12:12:14;27465533;success;atm
TRX000028;ACC00410;top_up;385617;Bluebird;transport;27/06/2023;00:15:01;10450752;success;atm
TRX000029;ACC00288;transfer_out;9283458;Transfer;transfer;04/05/2022;05:43:29;15301595;success;mobile_app
TRX000030;ACC00062;debit;1826934;Shopee;shopping;11/07/2022;17:58:20;35982900;success;mobile_app
TRX000031;ACC00718;debit;174387;MyPertamina;transport;21/03/2022;22:54:24;42134763;success;mobile_app
TRX000032;ACC00137;debit;1843930;Bakmi GM;food_delivery;08/03/2022;18:15:58;27782529;success;mobile_app
TRX000033;ACC00729;credit;7571015;Salary;transfer;23/11/2024;11:28:48;19771008;success;atm
TRX000034;ACC01093;transfer_out;19743525;Transfer;transfer;12/12/2024;23:09:17;364543055;success;atm
TRX000035;ACC00800;debit;1750357;ShopeeFood;food_delivery;23/06/2022;17:10:31;36041058;success;atm
TRX000036;ACC00473;transfer_out;29253757;Transfer;transfer;10/10/2022;13:59:17;13724505;success;atm
TRX000037;ACC00869;transfer_out;3353990;Transfer;transfer;30/10/2024;10:11:55;31325167;success;mobile_app
TRX000038;ACC01148;transfer_in;35524523;Transfer;transfer;13/12/2024;21:46:05;273847195;success;mobile_app
TRX000039;ACC00099;debit;1974738;KFC;food_delivery;16/05/2024;23:46:54;37870147;success;mobile_app
TRX000040;ACC00651;transfer_out;15266352;Transfer;transfer;04/03/2024;03:43:51;281846389;success;mobile_app
TRX000041;ACC00722;credit;4776559;Lotte Mart;groceries;24/08/2022;22:54:20;174697137;success;web
TRX000042;ACC00335;transfer_in;19434522;Transfer;transfer;13/04/2024;22:18:02;46287432;failed;mobile_app
TRX000043;ACC00066;credit;6978542;Hypermart;groceries;11/12/2023;11:38:44;12302320;success;mobile_app
TRX000044;ACC00813;credit;1355317;Salary;transfer;05/11/2024;22:08:42;0;success;mobile_app
TRX000045;ACC01071;transfer_out;10117171;Transfer;transfer;04/07/2024;14:40:31;454932529;success;mobile_app
TRX000046;ACC00910;transfer_in;12174204;Transfer;transfer;28/01/2024;09:56:45;466843122;success;mobile_app
